age,college,draft_year,draft_round,draft_number,player_name,player_height,team_abbreviation
234,31.0,Central Arkansas,1987,1,5,Scottie Pippen,200.66,CHI
235,27.0,Arizona,1992,2,30,Sean Rooks,208.28,LAL
236,35.0,West Virginia Tech,1983,6,139,Sedale Threatt,187.96,HOU
237,23.0,Georgia,1996,2,54,Shandon Anderson,198.12,UTA
238,26.0,None,Undrafted,Undrafted,Undrafted,Shane Heal,182.88,MIN
239,25.0,Louisiana State,1992,1,1,Shaquille O'Neal,215.9,LAL
240,20.0,California,1996,1,3,Shareef Abdur-Rahim,205.74,VAN
241,24.0,Clemson,1994,1,6,Sharone Wright,210.82,TOR
242,25.0,Brigham Young,1993,1,2,Shawn Bradley,228.6,DAL
243,27.0,Trinity Valley Community College,1989,1,17,Shawn Kemp,208.28,SEA
244,24.0,Georgetown,1996,1,26,Jerome Williams,205.74,DET
245,25.0,St. John's (NY),1994,2,43,Shawnelle Scott,210.82,CLE
246,29.0,Arizona,1989,1,3,Sean Elliott,203.2,SAS
247,30.0,Syracuse,1989,2,28,Sherman Douglas,185.42,MIL
248,23.0,Alabama,1996,1,22,Roy Rogers,208.28,VAN
249,33.0,Miami (OH),1986,1,8,Ron Harper,198.12,CHI
250,24.0,Wake Forest,1995,1,19,Randolph Childress,187.96,DET
251,29.0,New Mexico State,1991,2,31,Randy Brown,187.96,CHI
252,22.0,Louisiana State,1996,2,42,Randy Livingston,193.04,HOU
253,22.0,North Carolina,1995,1,4,Rasheed Wallace,210.82,POR
254,21.0,Connecticut,1996,1,5,Ray Allen,195.58,MIL
255,24.0,Arizona,Undrafted,Undrafted,Undrafted,Ray Owes,205.74,GSW
256,23.0,Arizona,1996,2,56,Reggie Geary,187.96,CLE
257,29.0,New Mexico State,Undrafted,Undrafted,Undrafted,Reggie Jordan,193.04,MIN
258,31.0,UCLA,1987,1,11,Reggie Miller,200.66,IND
259,26.0,Wyoming,Undrafted,Undrafted,Undrafted,Reggie Slater,200.66,TOR
260,33.0,Georgetown,1987,1,4,Reggie Williams,201.0,NJN
261,32.0,Syracuse,1988,1,9,Rony Seikaly,210.82,ORL
262,29.0,Kentucky,1988,1,8,Rex Chapman,193.04,PHX
263,27.0,Washington,1993,2,40,Richard Manning,210.82,LAC
264,27.0,North Carolina,1991,1,24,Rick Fox,200.66,BOS
265,38.0,Hampton,1980,2,35,Rick Mahorn,208.28,DET
266,37.0,Rice,1982,1,18,Ricky Pierce,193.04,CHH
267,30.0,Marist,1988,1,2,Rik Smits,223.52,IND
268,26.0,Alabama,1992,1,11,Robert Horry,208.28,LAL
269,28.0,Southern California,Undrafted,Undrafted,Undrafted,Robert Pack,187.96,DAL
270,43.0,Centenary (LA),1976,1,8,Robert Parish,215.9,CHI
271,26.0,St. John's (NY),1992,2,46,Robert Werdann,210.82,NJN
272,30.0,DePaul,1988,1,19,Rod Strickland,190.5,WAS
273,26.0,Wake Forest,1993,1,9,Rodney Rogers,200.66,LAC
274,27.0,Kansas,1993,1,16,Rex Walters,193.04,PHI
275,32.0,Syracuse,1986,2,39,Rafael Addison,203.2,CHH
276,28.0,Nevada-Las Vegas,1991,1,9,Stacey Augmon,203.2,POR
277,27.0,Louisiana State,1991,1,23,Stanley Roberts,213.36,LAC
278,31.0,Tulsa,Undrafted,Undrafted,Undrafted,Tracy Moore,193.04,HOU
279,25.0,UCLA,1992,1,18,Tracy Murray,200.66,WAS
280,24.0,Georgia Tech,1995,1,23,Travis Best,180.34,IND
281,22.0,Connecticut,1996,1,29,Travis Knight,213.36,LAL
282,34.0,DePaul,1985,2,35,Tyrone Corbin,198.12,ATL
283,29.0,Xavier,1990,1,11,Tyrone Hill,205.74,CLE
284,24.0,UCLA,1995,2,47,Tyus Edney,177.8,SAC
285,31.0,Florida,1988,2,47,Vernon Maxwell,193.04,SAS
286,25.0,Hartford,1993,1,8,Vin Baker,210.82,MIL
287,31.0,Memphis,1987,2,39,Vincent Askew,198.12,DEN
288,30.0,North Carolina State,1988,2,29,Vinny Del Negro,193.04,SAS
289,29.0,Marquette,1990,2,51,Tony Smith,193.04,CHH
290,22.0,Wright State,1996,1,12,Vitaly Potapenko,208.28,CLE
291,24.0,Minnesota,1994,2,46,Voshon Lenard,193.04,MIA
292,27.0,Maryland,1992,1,7,Walt Williams,203.2,TOR
293,23.0,Kentucky,1996,1,19,Walter McCarty,208.28,NYK
294,33.0,Oklahoma,1985,1,2,Wayman Tisdale,205.74,PHX
295,26.0,Auburn,1994,1,23,Wesley Person,198.12,PHX
296,31.0,Vanderbilt,1988,1,11,Will Perdue,213.36,SAS
297,30.0,Georgia,1988,1,10,Willie Anderson,203.2,MIA
298,29.0,Minnesota,1990,1,9,Willie Burton,203.2,ATL
299,34.0,Wichita State,1985,1,4,Xavier McDaniel,200.66,NJN
300,24.0,George Washington,1994,1,14,Yinka Dare,213.36,NJN
301,27.0,None,1991,2,51,Zan Tabak,213.36,TOR
302,29.0,None,1989,1,26,Vlade Divac,215.9,CHH
303,30.0,Oklahoma,1989,1,6,Stacey King,210.82,DAL
304,29.0,Maryland,1990,2,43,Tony Massenburg,205.74,NJN
305,23.0,Kentucky,1996,1,16,Tony Delk,187.96,CHH
306,26.0,DePaul,Undrafted,Undrafted,Undrafted,Stephen Howard,205.74,UTA
307,20.0,Georgia Tech,1996,1,4,Stephon Marbury,187.96,MIN
308,23.0,Tennessee,1996,2,38,Steve Hamer,213.36,BOS
309,31.0,Arizona,1988,2,50,Steve Kerr,190.5,CHI
310,23.0,Santa Clara,1996,1,15,Steve Nash,190.5,PHX
311,29.0,Purdue,1990,2,39,Steve Scheffler,205.74,SEA
312,28.0,Michigan State,1991,1,5,Steven Smith,203.2,ATL
313,25.0,Arizona State,Undrafted,Undrafted,Undrafted,Stevin Smith,187.96,DAL
314,33.0,None,Undrafted,Undrafted,Undrafted,Stojko Vrankovic,218.44,MIN
315,27.0,Oregon,1991,1,11,Terrell Brandon,180.34,CLE
316,36.0,DePaul,1982,1,2,Terry Cummings,205.74,SEA
317,24.0,Missouri-Kansas City,1994,1,19,Tony Dumas,198.12,PHX
318,25.0,Seton Hall,1993,1,13,Terry Dehere,193.04,LAC
319,34.0,Wisconsin-Stevens Point,1985,1,24,Terry Porter,190.5,MIN
320,24.0,Wyoming,1995,1,18,Theo Ratliff,208.28,DET
321,30.0,Texas-El Paso,1989,1,14,Tim Hardaway,182.88,MIA
322,33.0,Notre Dame,1986,6,124,Tim Kempton,208.28,SAS
323,30.0,La Salle,Undrafted,Undrafted,Undrafted,Tim Legler,193.04,WAS
324,27.0,Arkansas,1992,1,8,Todd Day,198.12,BOS
325,22.0,North Carolina State,1996,1,11,Todd Fuller,210.82,GSW
326,38.0,Utah,1981,1,8,Tom Chambers,208.28,CHH
327,27.0,North Carolina State,1992,1,6,Tom Gugliotta,208.28,MIN
328,30.0,Georgia Tech,1989,1,9,Tom Hammonds,205.74,DEN
329,28.0,None,1990,2,29,Toni Kukoc,210.82,CHI
330,29.0,Michigan,1990,1,16,Terry Mills,208.28,DET
331,23.0,Central State (OH),1996,1,28,Priest Lauderdale,223.52,ATL
332,25.0,Michigan State,1995,1,8,Shawn Respert,187.96,TOR
333,31.0,UCLA,1989,1,10,Pooh Richardson,185.42,LAC
334,33.0,Eastern Illinois,1986,2,33,Kevin Duckworth,213.36,LAC
335,31.0,DePaul,1988,1,20,Kevin Edwards,190.5,NJN
336,31.0,Iowa,1987,3,63,Kevin Gamble,195.58,SAC
337,21.0,None,1995,1,5,Kevin Garnett,210.82,MIN
338,31.0,California,1987,1,7,Kevin Johnson,185.42,PHX
339,26.0,North Carolina,Undrafted,Undrafted,Undrafted,Kevin Salvadori,213.36,SAC
340,34.0,Michigan State,1984,1,11,Kevin Willis,213.36,HOU
341,24.0,Arizona,1994,1,12,Khalid Reeves,190.5,DAL
342,18.0,None,1996,1,13,Kobe Bryant,200.66,LAL
343,24.0,Texas Christian,1995,1,10,Kurt Thomas,205.74,MIA
344,27.0,Notre Dame,1992,1,5,LaPhonso Ellis,203.2,DEN
345,36.0,Texas,1982,1,5,LaSalle Thompson,208.28,IND
346,24.0,California,1994,1,7,Lamond Murray,200.66,LAC
347,28.0,Nevada-Las Vegas,1991,1,1,Larry Johnson,200.66,NYK
348,32.0,Montana,1986,2,28,Larry Krystkowiak,205.74,LAL
349,28.0,Coppin State,Undrafted,Undrafted,Undrafted,Larry Stewart,203.2,SEA
350,26.0,Alabama,1992,1,24,Latrell Sprewell,195.58,GSW
351,25.0,Syracuse,1995,2,36,Lawrence Moten,195.58,VAN
352,27.0,Arkansas,1992,1,23,Lee Mayberry,185.42,VAN
353,26.0,Jackson State,1993,1,10,Lindsey Hunter,187.96,DET
354,28.0,La Salle,1990,1,7,Lionel Simmons,200.66,SAC
355,27.0,Georgia,1992,2,39,Litterial Green,185.42,DET
356,29.0,Mt. San Antonio,Undrafted,Undrafted,Undrafted,Lloyd Daniels,200.66,NJN
357,23.0,Villanova,1996,1,8,Kerry Kittles,195.58,NJN
358,32.0,North Carolina,1987,1,6,Kenny Smith,190.5,DEN
359,26.0,Georgia Tech,1991,1,2,Kenny Anderson,185.42,POR
360,29.0,Illinois,1990,1,5,Kendall Gill,195.58,NJN
361,26.0,Ohio State,1992,1,4,Jim Jackson,198.12,NJN
362,27.0,Murray State,1992,2,41,Popeye Jones,203.2,TOR
363,27.0,Virginia Tech,Undrafted,Undrafted,Undrafted,Jimmy Carruth,208.28,MIL
364,23.0,Michigan,1995,2,35,Jimmy King,195.58,DEN
365,27.0,Purdue,1991,2,39,Jimmy Oliver,195.58,TOR
366,27.0,Southern Mississippi,Undrafted,Undrafted,Undrafted,Joe Courtney,203.2,SAS
367,34.0,McNeese State,1985,1,18,Joe Dumars,190.5,DET
368,35.0,Arkansas,1985,1,6,Joe Kleine,213.36,NJN
369,21.0,Maryland,1995,1,1,Joe Smith,208.28,GSW
370,24.0,Arkansas-Little Rock,Undrafted,Undrafted,Undrafted,Joe Stephens,200.66,HOU
371,32.0,North Carolina,1987,1,13,Joe Wolf,210.82,MIL
372,24.0,Iowa State,1995,1,24,Loren Meyer,208.28,PHX
373,27.0,Virginia,Undrafted,Undrafted,Undrafted,John Crotty,187.96,MIA
374,31.0,Oklahoma State,Undrafted,Undrafted,Undrafted,John Starks,195.58,NYK
375,35.0,Gonzaga,1984,1,16,John Stockton,185.42,UTA
